song,version,song_type
甘い誘惑デインジャラスAmai Yuuwaku Dangerous,PRIME - PRIME 2,Arcade
Requiem,PRIME - PRIME 2,Arcade
Start On RED,PRIME - PRIME 2,Arcade
Log In,FIESTA - FIESTA 2,Arcade
Phantom,1st - Zero,Arcade
Hestia,PRIME - PRIME 2,Arcade
video out c,PRIME - PRIME 2,Arcade
Arirang,FIESTA - FIESTA 2,Arcade
Mad5cience,PRIME - PRIME 2,Arcade
Move That Body!,PRIME - PRIME 2,Arcade
Final Audition Ep. 2-X,NX - NXA,Arcade
Magical Vacation,PRIME - PRIME 2,Arcade
Obliteration,XX,Arcade
Unique,FIESTA - FIESTA 2,Arcade
Paradoxx - SHORT CUT -,XX,Short Cut
Cosmical Rhythm,PRIME - PRIME 2,Arcade
U GOT 2 KNOW,FIESTA - FIESTA 2,Arcade
Red Swan,PRIME - PRIME 2,Arcade
Anguished Unmaking,PRIME - PRIME 2,Arcade
Robot battle,PRIME - PRIME 2,Arcade
Time Attack <BLUE>,PRIME - PRIME 2,Arcade
Maria,1st - Zero,Arcade
You again my love,PRIME - PRIME 2,Arcade
Kill Them!,PRIME - PRIME 2,Arcade
Gun Rock,NX - NXA,Arcade
Black Dragon,PRIME - PRIME 2,Arcade
Hyacinth,PRIME - PRIME 2,Arcade
Dolly KiSS,PRIME - PRIME 2,Arcade
Lucid(PIU Edit),FIESTA - FIESTA 2,Arcade
You Got Me Crazy,PRIME - PRIME 2,Arcade
Accident,FIESTA - FIESTA 2,Arcade
Pavane,FIESTA - FIESTA 2,Arcade
GOOD NIGHT - FULL SONG -,XX,Full Song
Hungarian Dance V,FIESTA - FIESTA 2,Arcade
Papasito (feat.  KuTiNA) - FULL SONG -,XX,Full Song
Latino Virus,PRIME - PRIME 2,Arcade
Mental Rider,FIESTA - FIESTA 2,Arcade
Kitty Cat,FIESTA - FIESTA 2,Arcade
Idealized Romance,PRIME - PRIME 2,Arcade
STEP,PRIME - PRIME 2,Arcade
Selfishness,PRIME - PRIME 2,Arcade
Ladybug,FIESTA - FIESTA 2,Arcade
Heart Attack,PRIME - PRIME 2,Arcade
Utopia,FIESTA - FIESTA 2,Arcade
Final Audition Ep. 2-1,NX - NXA,Arcade
Silver Beat feat. ChisaUezono,PRIME - PRIME 2,Arcade
Vacuum Cleaner,FIESTA - FIESTA 2,Remix
Break Out,PRIME - PRIME 2,Arcade
Death Moon - SHORT CUT -,PRIME - PRIME 2,Short Cut
Le Grand Rouge,XX,Arcade
Final Audition Ep. 1,1st - Zero,Arcade
Amphitryon,PRIME - PRIME 2,Arcade
Solitary,1st - Zero,Arcade
Leather,PRIME - PRIME 2,Remix
Silhouette Effect,PRIME - PRIME 2,Arcade
Poseidon - SHORT CUT -,XX,Short Cut
Katkoi,PRIME - PRIME 2,Arcade
HYPERCUBE,PRIME - PRIME 2,Arcade
Brown Sky,XX,Remix
Fire Noodle Challenge,XX,Remix
Macaron Day,XX,Arcade
We Got 2 Know,FIESTA - FIESTA 2,Arcade
Higgledy Piggledy,NX - NXA,Arcade
Meteo5cience (GADGET mix),XX,Remix
Get Up,1st - Zero,Arcade
Monkey Fingers,1st - Zero,Arcade
Overblow,FIESTA - FIESTA 2,Arcade
VVV,FIESTA - FIESTA 2,Arcade
Dance with me,1st - Zero,Arcade
Karyawisata,PRIME - PRIME 2,Arcade
Leakage Voltage,PRIME - PRIME 2,Arcade
Beat of The War 2,1st - Zero,Arcade
The People didn't know,NX - NXA,Arcade
Emperor,1st - Zero,Arcade
Solitary 2,1st - Zero,Arcade
Come to Me,1st - Zero,Arcade
Caprice of Otada,NX - NXA,Arcade
XTREE,FIESTA - FIESTA 2,Arcade
Wedding Crashers - SHORT CUT -,XX,Short Cut
Native,FIESTA - FIESTA 2,Arcade
Beat of The War,1st - Zero,Arcade
Night Duty,FIESTA - FIESTA 2,Arcade
She Likes Pizza,1st - Zero,Arcade
D,FIESTA - FIESTA 2,Arcade
Bring Back The Beat,PRIME - PRIME 2,Arcade
Final Audition 2,1st - Zero,Arcade
Overblow2,PRIME - PRIME 2,Arcade
X-Tream,1st - Zero,Arcade
Lala,XX,Arcade
Full Moon - FULL SONG -,XX,Full Song
Meteorize,PRIME - PRIME 2,Arcade
Witch Doctor #1,NX - NXA,Arcade
Canon D - FULL SONG -,1st - Zero,Full Song
Winter - SHORT CUT -,N/A,Short Cut
Pine Nut,FIESTA - FIESTA 2,Arcade
Pumptris 8Bit ver.,NX - NXA,Arcade
Break It Down,PRIME - PRIME 2,Arcade
WI-EX-DOC-VA,NX - NXA,Remix
HUSH,PRIME - PRIME 2,Arcade
Love is a Danger Zone 2 - FULL SONG -,NX - NXA,Full Song
My Dreams,NX - NXA,Arcade
Hello William,FIESTA - FIESTA 2,Arcade
Interference,FIESTA - FIESTA 2,Arcade
Switronic - SHORT CUT -,XX,Short Cut
X-Rave,FIESTA - FIESTA 2,Arcade
Top City,1st - Zero,Arcade
XX OPENING - SHORT CUT -,XX,Short Cut
Milky Way Galaxy,PRIME - PRIME 2,Arcade
Visual Dream II (In Fiction),PRIME - PRIME 2,Arcade
Final Audition 3,1st - Zero,Arcade
Avalanquiem,PRIME - PRIME 2,Remix
Hi Bi,1st - Zero,Arcade
Naissance,1st - Zero,Arcade
Love is a Danger Zone 2 Try To B.P.M,N/A,Remix
Toccata,NX - NXA,Arcade
Nyarlathotep - SHORT CUT -,XX,Short Cut
Blaze Emotion,NX - NXA,Arcade
BEMERA,NX - NXA,Remix
Allegro Più Mosso,PRIME - PRIME 2,Arcade
Pumping Jumping,FIESTA - FIESTA 2,Arcade
Yog-Sothoth - SHORT CUT -,PRIME - PRIME 2,Short Cut
Betrayer,1st - Zero,Arcade
Passing Rider,PRIME - PRIME 2,Arcade
Oh! Rosa,1st - Zero,Arcade
Sarabande - SHORT CUT -,PRIME - PRIME 2,Short Cut
Vulcan,PRIME - PRIME 2,Remix
Rock the house - SHORT CUT -,PRIME - PRIME 2,Short Cut
D Gang,1st - Zero,Arcade
Xenesis,FIESTA - FIESTA 2,Arcade
ASDF,FIESTA - FIESTA 2,Arcade
K.O.A : Alice In Wonderworld,NX - NXA,Arcade
Chopsticks Challenge,NX - NXA,Arcade
Get Up (and go),FIESTA - FIESTA 2,Arcade
Bullfighter's Song,NX - NXA,Arcade
Hey U,PRIME - PRIME 2,Arcade
B2,PRIME - PRIME 2,Arcade
Bemera - SHORT CUT -,FIESTA - FIESTA 2,Short Cut
Tek -Club Copenhagen-,FIESTA - FIESTA 2,Arcade
Miss S' story,1st - Zero,Arcade
Beat the ghost,NX - NXA,Arcade
Get Your Groove On,1st - Zero,Arcade
Hyperion - SHORT CUT -,PRIME - PRIME 2,Short Cut
PRIME Opening - SHORT CUT -,PRIME - PRIME 2,Short Cut
My way,1st - Zero,Arcade
Elysium,PRIME - PRIME 2,Arcade
First Love,1st - Zero,Arcade
I Want U - SHORT CUT -,XX,Short Cut
Shub Sothoth,PRIME - PRIME 2,Remix
Guitar Man,NX - NXA,Arcade
Witch Doctor - SHORT CUT -,N/A,Short Cut
Kasou Shinja - SHORT CUT -,PRIME - PRIME 2,Short Cut
Extravaganza - SHORT CUT -,N/A,Short Cut
Shub Niggurath - SHORT CUT -,PRIME - PRIME 2,Short Cut
Chase Me - FULL SONG -,PRIME - PRIME 2,Full Song
Oy Oy Oy,1st - Zero,Arcade
Cleaner - SHORT CUT -,N/A,Short Cut
Jump,1st - Zero,Arcade
Love is a Danger Zone pt. 2 - SHORT CUT -,N/A,Short Cut
Set me up,1st - Zero,Arcade
Ignis Fatuus(DM Ashura Mix) - SHORT CUT -,N/A,Short Cut
Solitary 1.5,NX - NXA,Arcade
Repeatorment Remix,XX,Remix
Silhouette Effect - SHORT CUT -,PRIME - PRIME 2,Short Cut
Everybody Got 2 Know,N/A,Remix
Mission Possible -Blow Back-,FIESTA - FIESTA 2,Arcade
Street show down,1st - Zero,Arcade
J Bong,1st - Zero,Arcade
Pumptris 8Bit ver. - SHORT CUT -,N/A,Short Cut
Arch of Darkness,NX - NXA,Arcade
Beethoven Influenza,PRIME - PRIME 2,Remix
With My Lover,1st - Zero,Arcade
Money,NX - NXA,Arcade
Dignity - FULL SONG -,N/A,Full Song
Free Style,1st - Zero,Arcade
2006. LOVE SONG,NX - NXA,Arcade
What Are You Doin?,FIESTA - FIESTA 2,Remix
Point Break,1st - Zero,Arcade
Banya-P Guitar Remix,NX - NXA,Remix
Love is a Danger Zone - SHORT CUT -,N/A,Short Cut
Final Audition Ep. 2-X - SHORT CUT -,N/A,Short Cut
Destination - SHORT CUT -,N/A,Short Cut
Tream Vook of the war,N/A,Remix
Pumping Up,1st - Zero,Arcade
CHICKEN WING - SHORT CUT -,N/A,Short Cut
Super Fantasy - SHORT CUT -,N/A,Short Cut
PRIME2 OPENING - SHORT CUT -,N/A,Short Cut
Blaze Emotion (band version),PRIME - PRIME 2,Arcade
Monkey Fingers 2,NX - NXA,Arcade
Love is a Danger Zone pt.2 [Another],1st - Zero,Arcade
Do U Know That-Old School,NX - NXA,Arcade
EXTRA BanYa Remix,N/A,Remix
All I Want For X-mas,1st - Zero,Arcade
An Interesting View,1st - Zero,Arcade
Mission Possible,1st - Zero,Arcade
Caprice of DJ Otada,FIESTA - FIESTA 2,Remix
Hello,1st - Zero,Arcade
Pump Jump,1st - Zero,Arcade
Moonlight - SHORT CUT -,FIESTA - FIESTA 2,Short Cut
Interference - FULL SONG -,FIESTA - FIESTA 2,Full Song
Naissance 2,1st - Zero,Arcade
Move That Body! - FULL SONG -,PRIME - PRIME 2,Full Song
Beat of The War 2 - FULL SONG -,FIESTA - FIESTA 2,Full Song
Jam O Beat,NX - NXA,Arcade
Money Fingers,N/A,Remix
Dr.KOA,FIESTA - FIESTA 2,Remix
HUSH - FULL SONG -,N/A,Full Song
A Nightmare,1st - Zero,Arcade
PaPa helloizing,N/A,Remix
N,1st - Zero,Arcade
Banya-P Classic Remix,N/A,Remix
Betrayer -act.2-,FIESTA - FIESTA 2,Arcade
Trotpris - SHORT CUT -,N/A,Short Cut
Passacaglia - SHORT CUT -,N/A,Short Cut
Move That Body! - SHORT CUT -,N/A,Short Cut
FFF - SHORT CUT -,N/A,Short Cut
Stardust Overdrive - SHORT CUT -,PRIME - PRIME 2,Short Cut
Midnight Blue,1st - Zero,Arcade
Infinity RMX,N/A,Remix
BANYA HIPHOP REMIX,N/A,Remix
"The People didn't know ""Pumping up""",N/A,Remix
Banya Classic Remix,N/A,Remix
NX Opening - SHORT CUT -,N/A,Short Cut
Solitary 2 - SHORT CUT -,N/A,Short Cut
Selfishness - SHORT CUT -,N/A,Short Cut
B.P Classic Remix,N/A,Remix
Do It Reggae Style,FIESTA - FIESTA 2,Arcade
X-Rave - SHORT CUT -,N/A,Short Cut
U Got Me Rocking - SHORT CUT -,N/A,Short Cut
Overblow - SHORT CUT -,N/A,Short Cut
We will meet again,1st - Zero,Arcade
Exceed2 Opening - SHORT CUT -,N/A,Short Cut
msgoon RMX pt.6,N/A,Remix
Turkey Virus,N/A,Remix
Chopsticks Challenge - FULL SONG -,N/A,Full Song
K.O.A : Alice In Wonderworld - SHORT CUT -,N/A,Short Cut
Final Audition 2 - SHORT CUT -,N/A,Short Cut
B.P Classic Remix 2,N/A,Remix
Take Out - SHORT CUT -,N/A,Short Cut
Pop The Track - SHORT CUT -,N/A,Short Cut
Close Your Eye,1st - Zero,Arcade
Ugly duck Toccata,N/A,Remix
Set Up Me2 Mix,N/A,Remix
Unique - SHORT CUT -,N/A,Short Cut
Final Audition 3 - SHORT CUT -,N/A,Short Cut
PRiMA MATERiA,PHOENIX,Arcade
Solfeggietto,PHOENIX,Arcade
Destr0yer,PHOENIX,Arcade
Lucid Dream,PHOENIX,Arcade
Le Nozze di Figaro ~Celebrazione Remix~,PHOENIX,Arcade
