composer,kr_composer,songs
Banya Production,반야 프로덕션,"['The Devil', 'Ugly Dee', 'Turkey March -Minimal Tunes-', 'Phantom -Intermezzo-', 'DJ Otada', 'Arirang', 'Gun Rock', 'Hungarian Dance V', 'Higgledy Piggledy', ""The People didn't know"", 'Caprice of Otada', 'My Dreams', 'Hello William', 'Toccata', 'Pumping Jumping', 'Xenesis', 'K.O.A : Alice In Wonderworld', 'Get Up (and go)', ""Bullfighter's Song"", 'Tek -Club Copenhagen-', 'Beat the ghost', 'Guitar Man', 'Mission Possible -Blow Back-', 'Money', 'Banya-P Guitar Remix', 'Monkey Fingers 2', 'Do U Know That-Old School', 'Caprice of DJ Otada', 'Jam O Beat', 'Money Fingers', 'Dr.KOA', 'PaPa helloizing', 'Banya-P Classic Remix', 'The People didn\'t know ""Pumping up""', 'B.P Classic Remix', 'Do It Reggae Style', 'Turkey Virus', 'K.O.A : Alice In Wonderworld - SHORT CUT -', 'B.P Classic Remix 2', 'Ugly duck Toccata', 'Set Up Me2 Mix ', '2006. LOVE SONG ']"
void,void,"['Just Hold On (To All Fighters)', 'Sudden Romance [PIU Edit]', 'Utsushiyo No Kaze feat. Kana', 'Anguished Unmaking', 'Idealized Romance']"
SLAM,슬램,"['1950', '1949']"
Yak Won,약 원,"['Windmill', 'Lucid(PIU Edit)']"
TOTO,TOTO,['After a thousand years']
r300k,r300k,"['Scorpion King', 'Headless Chicken', 'Time Attack <BLUE>']"
ESTi x M2U,ESTi x M2U,['Obelisque']
HyuN vs lixound,HyuN vs lixound,['Harmagedon']
Diclonius Kid,Diclonius Kid,['Hardkore of the North']
Neutral Moon ,뉴트럴 문,['Travel to future']
SYNTHWULF,SYNTHWULF,['POINT ZERO 2']
BanYa & Cranky,반야 & Cranky,['Love Is A Danger Zone(Cranky Mix)']
Junk,Junk,['Life is PIANO']
M2U,엠투유,"['Rising Star', 'Nemesis', 'Hyperion', 'Katkoi', 'Hyperion - SHORT CUT -']"
Houseplan,하우스플랜,['Houseplan']
you,you,['Smile Diary']
Applesoda vs MAX,애플소다 vs 맥스,['Desaparecer']
FE,FE,['Xeroize']
Hommarju,Hommarju,['Pop Sequence']
ETIA.,ETIA.,"['Queen Of The Red', 'Mitotsudaira']"
Garlic Squad,Garlic Squad,['Kimchi Fingers']
mzet:-P,mzet:-P,"['Arcana Force', 'Passing Rider']"
QWertism,QWertism,['Adrenaline Blaster']
Quree,Quree,"['Broken Karma (PIU EDIT)', 'HTTP', 'Poseidon', 'Poseidon - SHORT CUT -']"
StaticSphere & FUGU SUISAN,스태틱스피어 & 복어수산,['CARMEN BUS']
BeautifulDay,뷰티풀데이,['V3']
SANY-ON,SANY-ON,['BEDLAM']
Nato & r300k,나토 & r300k,['Dual Racing <RED vs BLUE>']
MonstDeath,MonstDeath,['The End of the World ft. Skizzo']
DM ashura,DM ashura,['Allegro furioso']
Zircon,Zircon,"['Baroque Virus', 'Necromancy', 'Star Command', 'Baroque Virus - FULL SONG -']"
Smiley,Smiley,"['Xuxa', 'Utopia']"
Roy Mikelate,Roy Mikelate,['Your Mind']
Throwdown,Throwdown,['What Happened']
Tatsh,Tatsh,"['PRIME', 'Silver Beat feat. ChisaUezono']"
typeMARS,typeMARS,"['Awakening', 'Stardust Overdrive', 'Stardust Overdrive - SHORT CUT -']"
Warak,와락,"['Christmas Memories', ""Super Stylin'"", 'Latino Virus', 'Elysium']"
zeron,제론,['Black Swan']
ATAS,ATAS ,"['Transacaglia in G-minor', 'Obliteration']"
MAX & DOOM,맥스 앤 둠,['THE REVOLUTION']
MAX & Rorychesell(SID-SOUND),맥스 & Rorychesell(시드사운드),['Butterfly']
3R2,3R2,"['Feel My Happiness', 'Milky Way Galaxy']"
P4Koo,P4Koo,['Gothique Resonance']
Yamajet,야마젯,"['Cycling!', 'Over The Horizon']"
Triplestar,트리플스타,['Donatello']
Pory,포리,"['La Cinquantaine', '%X (Percent X)']"
ATAS ,ATAS ,['Asterios -ReEntry-']
J-Mi & Midi-D & Ft. Hanna Stockzell,J-Mi & Midi-D & Ft. Hanna Stockzell,"['Pop The Track', 'Pop The Track - SHORT CUT -']"
SLAM & NATO,슬램 & 나토,"['Paradoxx', 'Paradoxx - SHORT CUT -']"
MAX&Seorryang(SID-SOUND),MAX&Seorryang(시드사운드),"[""Jonathan's Dream""]"
Transin,Transin,['Clue']
Archefluxx,Archefluxx,"['Redline', 'Kill Them!']"
ESTi,ESTi,['HELIX']
Nightmare,Nightmare,['Dream To Nightmare']
DOIN && SUNNY,도인 && SUNNY,['ERRORCODE: 0']
Vospi,Vospi,"['Smells Like A Chocolate', 'video out c']"
Affinity,Affinity,['Monolith']
5argon,5argon,"[""Rave'til the earth's end""]"
Hi-G,Hi-G,['Tribe Attacker']
Skizzo,Skizzo,['Up & Up (Produced by AWAL)']
バクステ外神田一丁目 Bakusute Sotokanda Icchome,바쿠스테 소토칸다 잇쵸메,"['ヨロピク ピクヨロ！Yoropiku Pikuyoro !', '甘い誘惑デインジャラスAmai Yuuwaku Dangerous']"
BanYa & SynthWulf,반야 & SynthWulf,['Hypnosis(SynthWulf Mix)']
Gentle Stick,잰틀 스틱,"['Hestia', 'Amphitryon']"
Paul Bazooka,폴 바주카,"['Mad5cience', 'Meteo5cience (GADGET mix)', 'Meteorize']"
DM Ashura feat. Skizzo & Hanna,DM Ashura feat. Skizzo & Hanna,"['Move That Body!', 'Move That Body! - FULL SONG -', 'Move That Body! - SHORT CUT -']"
