song,version,song_type,kr_song,kr_song_proxy
Adrenaline Blaster,XX,Arcade,아드레날린 블래스터,아드레날린 블래스터
Broken Karma (PIU EDIT),XX,Arcade,브로큰 카르마 (PIU EDIT),브로큰 카르마 (PIU EDIT)
Slapstick Parfait,XX,Arcade,슬랩스틱 파르페,슬랩스틱 파르페
CARMEN BUS,XX,Arcade,까르멘 버스,까르멘 버스
HTTP,PRIME - PRIME 2,Arcade,HTTP,HTTP
Ragnarok,PRIME - PRIME 2,Arcade,라그나로크,라그나로크
V3,PRIME - PRIME 2,Arcade,V3,V3
Moment Day,PRIME - PRIME 2,Arcade,모멘트 데이,모멘트 데이
Bad Apple!! feat. Nomico - FULL SONG -,PRIME - PRIME 2,Full Song,배드 애플!! feat. Nomico - FULL SONG -,배드 애플!! feat. Nomico - FULL SONG -
BEDLAM,PRIME - PRIME 2,Arcade,베들램,베들램
District 1,XX,Arcade,디스트릭트 1,디스트릭트 1
Dual Racing <RED vs BLUE>,XX,Arcade,듀얼 레이싱 <레드 vs 블루>,듀얼 레이싱 <레드 vs 블루>
Reality,FIESTA - FIESTA 2,Arcade,리얼리티,리얼리티
The End of the World ft. Skizzo,XX,Arcade,디 엔드 오브 더 월드 ft. Skizzo,디 엔드 오브 더 월드 ft. Skizzo
CHICKEN WING,1st - Zero,Arcade,치킨 윙,치킨 윙
Allegro furioso,PRIME - PRIME 2,Arcade,알레그로 퓨리오소,알레그로 퓨리오소
Pumptris Quattro,NX - NXA,Arcade,펌트리스 꽈뜨로,펌트리스 꽈뜨로
Baroque Virus,FIESTA - FIESTA 2,Arcade,바로크 바이러스,바로크 바이러스
The Festival of Ghost2 (Sneak),PRIME - PRIME 2,Arcade,유령의 축제 2 (Sneak),유령의 축제 2 (Sneak)
Xuxa,FIESTA - FIESTA 2,Arcade,슈샤,슈샤
Lepton Strike,XX,Arcade,립톤 스트라이크,립톤 스트라이크
Your Mind,XX,Arcade,유어 마인드,유어 마인드
MATADOR,PRIME - PRIME 2,Arcade,마타도르,마타도르
Poseidon,XX,Arcade,포세이돈,포세이돈
What Happened,FIESTA - FIESTA 2,Arcade,왓 해픈드,왓 해픈드
Pump Me Amadeus,1st - Zero,Arcade,펌프 미 아마데우스,펌프 미 아마데우스
Waltz of Doge,PRIME - PRIME 2,Arcade,왈츠 오브 도지,왈츠 오브 도지
JANUS,XX,Arcade,야누스,야누스
Reminiscence,PRIME - PRIME 2,Arcade,레미니센스,레미니센스
Wicked Legend,XX,Arcade,위키드 레전드,위키드 레전드
