index,song,kr_song,kr_song_proxy,composer,kr_composer,bpm,main_bpm,version,song_type
CS113,Sorceress Elise,소서리스 엘리제,소서리스 엘리제,YAHPP,이 얍,158,158,FIESTA - FIESTA 2,Arcade
CS802,Dignity,디그니티,디그니티,Crash,크래쉬,195,195,1st - Zero,Arcade
CS350,Lohxia,록시아,록씨아,The Musical Ghost,The Musical Ghost,155,155,PHOENIX,Arcade
CS663,GLORIA,글로리아,글로리아,Croire,Croire,245,245,XX,Arcade
CS266,Cross Over feat. LyuU,크로스 오버 feat. LyuU,크로스 오버 feat. LyuU,HyuN,HyuN,200,200,PRIME - PRIME 2,Arcade
CS164,Follow me,팔로우 미,팔로우 미,SHK,SHK,155,155,FIESTA - FIESTA 2,Arcade
CS165,Yeo rae a,여래아,여래아,SID-SOUND,시드사운드,90,90,FIESTA - FIESTA 2,Arcade
CS639,Nakakapagpabagabag,꺼림칙한,꺼림칙한,Dasu feat. Kagamine Len,Dasu feat. 카가미네 렌,145,145,PRIME - PRIME 2,Arcade
CS655,F(R)IEND,프렌드,프렌드,D_AAN,D_AAN,200,200,XX,Arcade
CS225,Sarabande,사라반드,사라반드,MAX,MAX,157,157,PRIME - PRIME 2,Arcade
CS290,Dement ~After Legend~,디멘트 ~에프터 레전드~,디멘트 ~에프터 레전드~,Lunatic Sounds,루나틱 사운즈,210,210,XX,Arcade
CS074,Chimera,키메라,키메라,YAHPP,이 얍,210,210,NX - NXA,Arcade
CS601,Gargoyle,가고일,가고일,Sanxion7,Sanxion7,150,150,FIESTA - FIESTA 2,Arcade
CS301,Tantanmen,탄탄멘,탄탄멘,Memme,맴매,185,185,XX,Arcade
CS274,ESCAPE,이스케이프,이스케이프,D_AAN,D_AAN,220,220,PRIME - PRIME 2,Arcade
CS240,Cross Time,크로스 타임,크로스 타임,Brandy,브랜디,160,160,PRIME - PRIME 2,Arcade
CS338,Tropicanic,트로피카닉,트로피카닉,SHK,SHK,145,145,XX,Arcade
CS152,Elise,엘리제,엘리제,DM Ashura,DM Ashura,162,162,FIESTA - FIESTA 2,Arcade
CS665,Kokugen Kairou Labyrinth,시간의 회랑 라비린스,시간의 회랑 라비린스,A:llha (ANE + 2riA),N/A,215,215,XX,Arcade
CS269,A Site De La Rue,어 사이트 데 라 루,데라루,STREME REVERIE,STREME REVERIE,186,186,PRIME - PRIME 2,Arcade
CS646,Re：End of a Dream,Re：엔드 오브 어 드림,리 엔드,uma vs. Morimori Atsushi,uma vs. Morimori Atsushi,212,212,XX,Arcade
CS273,BSPower Explosion,BS파워 익스플로전,병신력 폭발,Memme,맴매,180,180,PRIME - PRIME 2,Arcade
CS659,Phalanx RS2018 edit,팔랑크스 RS2018 edit,팔랑크스 RS2018 edit,Cranky,Cranky,145,145,XX,Arcade
CS327,Stardream (feat. Romelon),스타드림 (feat. Romelon),스타드림 (feat. Romelon),Cashew,Yakikaze & Cashew,160,160,XX,Arcade
CS642,Paved Garden,페이브 가든,페이브 가든,Ginkiha,Ginkiha,187,187,XX,Arcade
CS284,VANISH,배니쉬,베니쉬,Applesoda,애플소다,174,174,XX,Arcade
CS056,Canon D,캐논 디,캐논디,BanYa,반야,160,160,1st - Zero,Arcade
CS218,Last Rebirth,라스트 리버스,라스트 리버스,SHK,SHK,120,120,PRIME - PRIME 2,Arcade
CS647,CROSS RAY (feat. 月下Lia),크로스 레이 (feat. 月下Lia),크로스 레이 (feat. 月下Lia),HyuN,HyuN,176,176,XX,Arcade
CS624,Achluoias,아클루오이아스,아클루오이아스,D_AAN,D_AAN,200,200,PRIME - PRIME 2,Arcade
CS649,Indestructible,인디스트럭터블,럭키볼,Matduke,Matduke,174,174,XX,Arcade
CS250,Keep On!,킵 온!,킵 온!,雨漏りＰ/ AmamoriP,아마모리P,185,185,PRIME - PRIME 2,Arcade
CS644,Crossing Delta,크로싱 델타,크로싱 델타,t+pazolite+Ginkiha+Hommarju,N/A,180,180,XX,Arcade
CS629,Imprinting,임프린팅,임프린팅,Sakuzyo,Sakuzyo,175,175,PRIME - PRIME 2,Arcade
CS278,Nyarlathotep,니알라토텝,니알라토텝,Nato,나토,200,200,XX,Arcade
CS300,HEART RABBIT COASTER,하트 래빗 코스터,하래코,Nato,나토,200,200,XX,Arcade
CS222,Shub Niggurath,슈브 니구라스,슈브 니구라스,Nato,나토,220,220,PRIME - PRIME 2,Arcade
CS295,Can-can ~Orpheus in The Party Mix~,캉-캉 ~Orpheus in The Party Mix~,캉캉 오르페우스,Sr. Lan Belmont,Sr. Lan Belmont,195,195,XX,Arcade
